beschreibung,dauer_tage,budget_eur,land,region,technologie,projekttyp,teamgroesse,jahr,groesse,projekttyp_detail,ai_effizienz_faktor,stundensatz_eur
"Terminbuchungsportal für Krüger Education (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",37,42346,CH,CH,JavaScript,Neuentwicklung,1,2024,klein,Buchungssystem klein,0.78,124
"Analyse-Dashboard für Weber Consulting mit Python Dash, Anbindung an 3 Datenquellen, Zeitreihenanalyse, Prognose-Modell für nächste 30 Tage, rollenbasierte Sichtbarkeit.",48,103241,AT,AT,Python/ML,Neuentwicklung,3,2021,mittel,Reporting & Analytics Tool,0.97,86
"Maßgeschneiderte E-Commerce-Plattform für Hartmann Health mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",104,119094,AT,AT,PHP,Neuentwicklung,2,2026,mittel,E-Commerce Platform,0.68,73
"Maßgeschneiderte E-Commerce-Plattform für Weber Consulting mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",91,111681,DE,DE-HE,PHP,Neuentwicklung,2,2021,mittel,E-Commerce Platform,0.97,64
"KPI-Dashboard für Krause Retail. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",41,28803,DE,DE-BY,JavaScript,Neuentwicklung,1,2021,klein,Dashboard einfach,0.97,81
"KPI-Dashboard für Braun Logistics. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",19,13468,DE,DE-HE,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,81
"Churn-Prediction-System für Schulz Media. Feature Engineering auf 50+ Variablen, XGBoost-Ensemble, SHAP-Erklärbarkeit, automatische Handlungsempfehlungen, A/B-Test-Framework zur Validierung.",204,348844,DE,DE-HE,Python/ML,Neuentwicklung,3,2018,gross,ML Predictive Analytics,1.0,81
"Digitales Patientenportal für Schmidt AG mit KV-Anbindung, HL7 FHIR Schnittstelle, Telematikinfrastruktur-Anbindung, ePA-Integration, DSGVO- und KRITIS-konformes Sicherheitskonzept.",254,1075784,CH,CH,Java,Neuentwicklung,3,2024,gross,Gesundheitswesenportal,0.78,134
"Vertriebssteuerungs-CRM für Schulz Media. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",39,67223,DE,DE-TH,JavaScript,Neuentwicklung,3,2023,mittel,CRM-System,0.85,66
"Microservice-API für Schwarz Energie. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",17,12533,DE,DE-BY,Backend,Neuentwicklung,1,2026,klein,REST API einfach,0.68,98
